input_text,target_text
extract transaction: Received $3208 as e-transfer from friend day before yesterday,"type: income, amount: 3208, category: gift, date: 2025-04-28"
extract transaction: Paid $4045 for course fee from Superstore last night,"type: expense, amount: 4045, category: education, date: 2025-04-29"
extract transaction: Received $4000 as bank reward day before yesterday,"type: income, amount: 4000, category: interest, date: 2025-04-28"
"extract transaction: Just now, I picked up misc for $409","type: expense, amount: 409, category: other, date: 2025-04-30"
"extract transaction: Tonight, Had to pay $2827 for youtube premium","type: expense, amount: 2827, category: subscriptions, date: 2025-04-30"
"extract transaction: Earlier today, Spent $2890 on fruits","type: expense, amount: 2890, category: groceries, date: 2025-04-30"
"extract transaction: Just now, I picked up health insurance for $1888","type: expense, amount: 1888, category: insurance, date: 2025-04-30"
extract transaction: I got $1430 from work deposit yesterday,"type: income, amount: 1430, category: salary, date: 2025-04-29"
extract transaction: performance bonus brought in $534 earlier this week but recorded it yesterday,"type: income, amount: 534, category: bonus, date: 2025-04-29"
extract transaction: Spent $3854 on movie ticket earlier this week but recorded it day before yesterday,"type: expense, amount: 3854, category: entertainment, date: 2025-04-28"
"extract transaction: My performance bonus came in, got $1324 earlier this week but recorded it last night","type: income, amount: 1324, category: bonus, date: 2025-04-29"
"extract transaction: This morning, Received $3557 as crypto gain","type: income, amount: 3557, category: investment, date: 2025-04-30"
extract transaction: Got paid $1995 thanks to paycheque yesterday,"type: income, amount: 1995, category: salary, date: 2025-04-29"
"extract transaction: My dividend came in, got $3280 earlier this week but recorded it earlier today","type: income, amount: 3280, category: investment, date: 2025-04-30"
"extract transaction: My gift card came in, got $164 earlier this week but recorded it today","type: income, amount: 164, category: gift, date: 2025-04-30"
extract transaction: Got paid $3812 thanks to work deposit today,"type: income, amount: 3812, category: salary, date: 2025-04-30"
extract transaction: Received $1386 as interest income this morning,"type: income, amount: 1386, category: interest, date: 2025-04-30"
extract transaction: crypto gain brought in $172 just now,"type: income, amount: 172, category: investment, date: 2025-04-30"
"extract transaction: Bought fee today, it cost me $462 today","type: expense, amount: 462, category: other, date: 2025-04-30"
"extract transaction: This evening, Spent $2462 on gas","type: expense, amount: 2462, category: transportation, date: 2025-04-30"
"extract transaction: Yesterday, I picked up bread for $2144","type: expense, amount: 2144, category: groceries, date: 2025-04-29"
"extract transaction: This morning, Got paid $1330 thanks to cashback","type: income, amount: 1330, category: other, date: 2025-04-30"
extract transaction: Dropped $74 on book today,"type: expense, amount: 74, category: education, date: 2025-04-30"
extract transaction: I got $3372 from side gig day before yesterday,"type: income, amount: 3372, category: freelance, date: 2025-04-28"
extract transaction: holiday bonus brought in $4046 earlier this week but recorded it tonight,"type: income, amount: 4046, category: bonus, date: 2025-04-30"
extract transaction: Dropped $732 on monthly rent day before yesterday,"type: expense, amount: 732, category: rent, date: 2025-04-28"
"extract transaction: Bought milk today, it cost me $4409 earlier today","type: expense, amount: 4409, category: groceries, date: 2025-04-30"
extract transaction: I picked up tuition for $1797 earlier this week but recorded it today,"type: expense, amount: 1797, category: education, date: 2025-04-30"
"extract transaction: My interest income came in, got $2759 earlier today","type: income, amount: 2759, category: interest, date: 2025-04-30"
